product_key,product_id,product_number,category_id,product_name,category,subcategory,maintenance_flag,product_line,product_cost,is_cost_known,start_date,is_active
9c7d1300cc71560c2865f37e28a5e8b471a9836b498e92acd22e87c67b24aa10,210,FR-R92B-58,CO_RF,HL Road Frame - Black- 58,Components,Road Frames,true,Road,null,false,2003-07-01,true
b4964f45214cea60433c1849de1280d13bff0e45fb52bf83b819d54ce2133f7a,211,FR-R92R-58,CO_RF,HL Road Frame - Red- 58,Components,Road Frames,true,Road,null,false,2003-07-01,true
adf3537f6b3ca7c3643eee8794da80f696d4aec7c2d9ebaf46859fa31e3ec097,212,HL-U509-R,AC_HE,Sport-100 Helmet- Red,Accessories,Helmets,true,other sales,12,true,2011-07-01,false
adf3537f6b3ca7c3643eee8794da80f696d4aec7c2d9ebaf46859fa31e3ec097,213,HL-U509-R,AC_HE,Sport-100 Helmet- Red,Accessories,Helmets,true,other sales,14,true,2012-07-01,false
adf3537f6b3ca7c3643eee8794da80f696d4aec7c2d9ebaf46859fa31e3ec097,214,HL-U509-R,AC_HE,Sport-100 Helmet- Red,Accessories,Helmets,true,other sales,13,true,2013-07-01,true
9ae8da246a71ee6983a96cf5cedbb1f2e08a88f726ad88e04a64d73a3a974d3d,215,HL-U509,AC_HE,Sport-100 Helmet- Black,Accessories,Helmets,true,other sales,12,true,2011-07-01,false
9ae8da246a71ee6983a96cf5cedbb1f2e08a88f726ad88e04a64d73a3a974d3d,216,HL-U509,AC_HE,Sport-100 Helmet- Black,Accessories,Helmets,true,other sales,14,true,2012-07-01,false
9ae8da246a71ee6983a96cf5cedbb1f2e08a88f726ad88e04a64d73a3a974d3d,217,HL-U509,AC_HE,Sport-100 Helmet- Black,Accessories,Helmets,true,other sales,13,true,2013-07-01,true
e3ebe6960fa3ca8a8f04122fd4d1096a68293a905198761063136b244e4f6502,218,SO-B909-M,CL_SO,Mountain Bike Socks- M,Clothing,Socks,false,Mountain,3,true,2011-07-01,false
03cdcbfc00c097a06ff24627ae918fb625a4a463a3991f9b55151fa14898eda4,219,SO-B909-L,CL_SO,Mountain Bike Socks- L,Clothing,Socks,false,Mountain,3,true,2011-07-01,false
19c19279ce4c55bb148e5ebb701d2768a1de36a8220f31de185dc5a4658fd997,220,HL-U509-B,AC_HE,Sport-100 Helmet- Blue,Accessories,Helmets,true,other sales,12,true,2011-07-01,false
19c19279ce4c55bb148e5ebb701d2768a1de36a8220f31de185dc5a4658fd997,221,HL-U509-B,AC_HE,Sport-100 Helmet- Blue,Accessories,Helmets,true,other sales,14,true,2012-07-01,false
19c19279ce4c55bb148e5ebb701d2768a1de36a8220f31de185dc5a4658fd997,222,HL-U509-B,AC_HE,Sport-100 Helmet- Blue,Accessories,Helmets,true,other sales,13,true,2013-07-01,true
a6b2d9d373480cfc1ab9d23084c4cfc587c0e20874125335ae264d6649f90f86,223,CA-1098,CL_CA,AWC Logo Cap,Clothing,Caps,false,other sales,6,true,2011-07-01,false
a6b2d9d373480cfc1ab9d23084c4cfc587c0e20874125335ae264d6649f90f86,224,CA-1098,CL_CA,AWC Logo Cap,Clothing,Caps,false,other sales,5,true,2012-07-01,false
a6b2d9d373480cfc1ab9d23084c4cfc587c0e20874125335ae264d6649f90f86,225,CA-1098,CL_CA,AWC Logo Cap,Clothing,Caps,false,other sales,7,true,2013-07-01,true
74ca8849636be1b35a5eab0c9bed8b55aedad027e459ae2cf6348dce513839e4,226,LJ-0192-S,CL_JE,Long-Sleeve Logo Jersey- S,Clothing,Jerseys,false,other sales,32,true,2011-07-01,false
74ca8849636be1b35a5eab0c9bed8b55aedad027e459ae2cf6348dce513839e4,227,LJ-0192-S,CL_JE,Long-Sleeve Logo Jersey- S,Clothing,Jerseys,false,other sales,29,true,2012-07-01,false
74ca8849636be1b35a5eab0c9bed8b55aedad027e459ae2cf6348dce513839e4,228,LJ-0192-S,CL_JE,Long-Sleeve Logo Jersey- S,Clothing,Jerseys,false,other sales,38,true,2013-07-01,true
f764aad76841437e1ecfeb9f257d22955c82ad553fa4aead5ba81ff2c81209f7,229,LJ-0192-M,CL_JE,Long-Sleeve Logo Jersey- M,Clothing,Jerseys,false,other sales,32,true,2011-07-01,false
f764aad76841437e1ecfeb9f257d22955c82ad553fa4aead5ba81ff2c81209f7,230,LJ-0192-M,CL_JE,Long-Sleeve Logo Jersey- M,Clothing,Jerseys,false,other sales,29,true,2012-07-01,false
f764aad76841437e1ecfeb9f257d22955c82ad553fa4aead5ba81ff2c81209f7,231,LJ-0192-M,CL_JE,Long-Sleeve Logo Jersey- M,Clothing,Jerseys,false,other sales,38,true,2013-07-01,true
c4f2efd154a071f985104960ab020fa897a1f6e344930056b126e87e2c4f391e,232,LJ-0192-L,CL_JE,Long-Sleeve Logo Jersey- L,Clothing,Jerseys,false,other sales,32,true,2011-07-01,false
c4f2efd154a071f985104960ab020fa897a1f6e344930056b126e87e2c4f391e,233,LJ-0192-L,CL_JE,Long-Sleeve Logo Jersey- L,Clothing,Jerseys,false,other sales,29,true,2012-07-01,false
c4f2efd154a071f985104960ab020fa897a1f6e344930056b126e87e2c4f391e,234,LJ-0192-L,CL_JE,Long-Sleeve Logo Jersey- L,Clothing,Jerseys,false,other sales,38,true,2013-07-01,true
